vrai_code;Pays;Lib;ExioCode;PaysLib;D01T02;D03;D05T06;D07T08;D09;D10T12;D13T15;D16;D17T18;D19;D20;D21;D22;D23;D24;D25;D26;D27;D28;D29;D30;D31T33;D35;D36T39;D41T43;D45T47;D49;D50;D51;D52;D53;D55T56;D58T60;D61;D62T63;D64T66;D68;D69T75;D77T82;D84;D85;D86T88;D90T93;D94T96;D97T98
i01.a;AT;Cultivation of paddy rice;i01.a;AT.Cultivation of paddy rice;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.b;AT;Cultivation of wheat;i01.b;AT.Cultivation of wheat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.c;AT;Cultivation of cereal grains nec;i01.c;AT.Cultivation of cereal grains nec;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.d;AT;Cultivation of vegetables, fruit, nuts;i01.d;AT.Cultivation of vegetables, fruit, nuts;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.e;AT;Cultivation of oil seeds;i01.e;AT.Cultivation of oil seeds;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.f;AT;Cultivation of sugar cane, sugar beet;i01.f;AT.Cultivation of sugar cane, sugar beet;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.g;AT;Cultivation of plant-based fibers;i01.g;AT.Cultivation of plant-based fibers;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.h;AT;Cultivation of crops nec;i01.h;AT.Cultivation of crops nec;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.i;AT;Cattle farming;i01.i;AT.Cattle farming;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.j;AT;Pigs farming;i01.j;AT.Pigs farming;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.k;AT;Poultry farming;i01.k;AT.Poultry farming;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.l;AT;Meat animals nec;i01.l;AT.Meat animals nec;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.m;AT;Animal products nec;i01.m;AT.Animal products nec;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.n;AT;Raw milk;i01.n;AT.Raw milk;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.o;AT;Wool, silk-worm cocoons;i01.o;AT.Wool, silk-worm cocoons;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.w.1;AT;Manure treatment (conventional), storage and land application;i01.w.1;AT.Manure treatment (conventional), storage and land application;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i01.w.2;AT;Manure treatment (biogas), storage and land application;i01.w.2;AT.Manure treatment (biogas), storage and land application;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i02;AT;Forestry, logging and related service activities (02);i02;AT.Forestry, logging and related service activities (02);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i05;AT;"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)";i05;"AT.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i10;AT;"Mining of coal and lignite; extraction of peat (10)";i10;"AT.Mining of coal and lignite; extraction of peat (10)";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i11.a;AT;Extraction of crude petroleum and services related to crude oil extraction, excluding surveying;i11.a;AT.Extraction of crude petroleum and services related to crude oil extraction, excluding surveying;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i11.b;AT;Extraction of natural gas and services related to natural gas extraction, excluding surveying;i11.b;AT.Extraction of natural gas and services related to natural gas extraction, excluding surveying;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i11.c;AT;Extraction, liquefaction, and regasification of other petroleum and gaseous materials;i11.c;AT.Extraction, liquefaction, and regasification of other petroleum and gaseous materials;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i12;AT;Mining of uranium and thorium ores (12);i12;AT.Mining of uranium and thorium ores (12);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.1;AT;Mining of iron ores;i13.1;AT.Mining of iron ores;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.20.11;AT;Mining of copper ores and concentrates;i13.20.11;AT.Mining of copper ores and concentrates;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.20.12;AT;Mining of nickel ores and concentrates;i13.20.12;AT.Mining of nickel ores and concentrates;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.20.13;AT;Mining of aluminium ores and concentrates;i13.20.13;AT.Mining of aluminium ores and concentrates;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.20.14;AT;Mining of precious metal ores and concentrates;i13.20.14;AT.Mining of precious metal ores and concentrates;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.20.15;AT;Mining of lead, zinc and tin ores and concentrates;i13.20.15;AT.Mining of lead, zinc and tin ores and concentrates;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i13.20.16;AT;Mining of other non-ferrous metal ores and concentrates;i13.20.16;AT.Mining of other non-ferrous metal ores and concentrates;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i14.1;AT;Quarrying of stone;i14.1;AT.Quarrying of stone;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i14.2;AT;Quarrying of sand and clay;i14.2;AT.Quarrying of sand and clay;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i14.3;AT;Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.;i14.3;AT.Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.a;AT;Processing of meat cattle;i15.a;AT.Processing of meat cattle;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.b;AT;Processing of meat pigs;i15.b;AT.Processing of meat pigs;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.c;AT;Processing of meat poultry;i15.c;AT.Processing of meat poultry;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.d;AT;Production of meat products nec;i15.d;AT.Production of meat products nec;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.e;AT;Processing vegetable oils and fats;i15.e;AT.Processing vegetable oils and fats;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.f;AT;Processing of dairy products;i15.f;AT.Processing of dairy products;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.g;AT;Processed rice;i15.g;AT.Processed rice;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.h;AT;Sugar refining;i15.h;AT.Sugar refining;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.i;AT;Processing of Food products nec;i15.i;AT.Processing of Food products nec;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.j;AT;Manufacture of beverages;i15.j;AT.Manufacture of beverages;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i15.k;AT;Manufacture of fish products;i15.k;AT.Manufacture of fish products;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i16;AT;Manufacture of tobacco products (16);i16;AT.Manufacture of tobacco products (16);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i17;AT;Manufacture of textiles (17);i17;AT.Manufacture of textiles (17);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
